,a,al,am,b,c
0,0.0,0.0,0.0,0.0,0.0
1,0.009979858997391067,0.01,0.0,0.00998,0.010029991613367185
2,0.019858904649841636,0.02,0.0,0.01986,0.020058742833802712
3,0.030591945543863464,0.03,0.0,0.03059,0.03106964690294762
4,0.04047479558060696,0.04,0.0,0.04047,0.04131669559445499
5,0.0494963921680629,0.05,0.0,0.04951,0.05076332134077582
6,0.059361019785059366,0.06,0.0,0.05938,0.06119586846836503
7,0.06951661232688,0.07,0.0,0.06954,0.07205105617782483
8,0.07959629208383034,0.08,0.0,0.0796,0.08294289223694011
9,0.09066098659747712,0.09,0.0,0.09064,0.09503730229600368
10,0.0998393948561096,0.1,0.0,0.09981,0.10518208141828393
11,0.20021924368054012,0.2,0.0,0.20021,0.22341764347470947
12,0.30100745896637704,0.30000000000000004,0.0,0.30118,0.35811520771567196
13,0.3998117631732616,0.4,0.0,0.39983,0.5105119449237792
14,0.49888515744829054,0.5,0.0,0.4988,0.690919977515568
15,0.6008617955590367,0.6000000000000001,0.0,0.60096,0.9184475450219326
16,0.7004007332732168,0.7000000000000001,0.0,0.70038,1.205309474849467
17,0.7991041816198985,0.8,0.0,0.79916,1.6049688218124085
18,0.9001120566812889,0.9,0.0,0.89985,2.3037062881113406
19,0.0,0.0,0.01,0.0,0.0
20,0.01007744550278622,0.01,0.01,0.010079035826373909,0.010128566694046043
21,0.020238007754584175,0.02,0.01,0.020236147605380325,0.020445601869711134
22,0.02931048919848367,0.03,0.01,0.029309545950138072,0.029748624131017563
23,0.04031948641917382,0.04,0.01,0.040315978650911924,0.04115484826322263
24,0.050093758506949304,0.05,0.01,0.0500923840071889,0.05139199242325122
25,0.060038915383111124,0.06,0.01,0.06001117346300465,0.061916803918799175
26,0.07053222762276612,0.07,0.01,0.07052166008597703,0.07314314442039857
27,0.07986818854153765,0.08,0.01,0.07988474993198984,0.08323834587727802
28,0.08946802346161875,0.09,0.01,0.08946373900990272,0.093726260674562
29,0.09974690351369941,0.1,0.01,0.09970154568108344,0.10507933687417403
30,0.2030360930987295,0.2,0.01,0.20305183310302377,0.22694588741402202
31,0.29738476672212943,0.30000000000000004,0.01,0.2972903693946224,0.3529458580904412
32,0.3987720537768136,0.4,0.01,0.39819361796685204,0.5087811381131655
33,0.4996468381108794,0.5,0.01,0.49904101778528837,0.692441106110946
34,0.6004509727660361,0.6000000000000001,0.01,0.600072834039322,0.9174187998187051
35,0.7000352179427896,0.7000000000000001,0.01,0.699053658713642,1.2040902043596824
36,0.7979034948633148,0.8,0.01,0.7971841598187428,1.599009947464858
37,0.899427061706802,0.9,0.01,0.8989094494091183,2.2968720605540303
38,0.0,0.0,0.02,0.0,0.0
39,0.010250676014315063,0.01,0.02,0.010249500436500459,0.010303576011351422
40,0.02049182602783106,0.02,0.02,0.02048909112056782,0.020704696586757478
41,0.029456612788510306,0.03,0.02,0.02945171465194357,0.029899171332697604
42,0.04010553063353395,0.04,0.02,0.04009293121625224,0.04093192830601684
43,0.05076579921305113,0.05,0.02,0.05075246375286271,0.052099723899230066
44,0.059595391456569335,0.06,0.02,0.05956559903877751,0.061445061707823705
45,0.070699602332571,0.07,0.02,0.07069839246758981,0.07332323649745758
46,0.08078359631504206,0.08,0.02,0.0807419146688393,0.08423370699655452
47,0.08999815103024567,0.09,0.02,0.08998984376370144,0.09430864763841064
48,0.09790544560394632,0.1,0.02,0.09791365598698497,0.10303593692344913
49,0.1982301571033378,0.2,0.02,0.19813838731830036,0.22093369123379886
50,0.29978222136257093,0.30000000000000004,0.02,0.29964298126824757,0.35636387998495644
51,0.3996305189947976,0.4,0.02,0.39911261768189776,0.5102100116187013
52,0.4981353687605442,0.5,0.02,0.4977737540558939,0.6894248545404488
53,0.5988797515030614,0.6000000000000001,0.02,0.5986396951197913,0.9134940250646207
54,0.7003000927175658,0.7000000000000001,0.02,0.6995287615093593,1.2049736140274876
55,0.8000905289064881,0.8,0.02,0.7986055100587347,1.6098906594410016
56,0.8998009255156738,0.9,0.02,0.8985609096867394,2.300596327057403
57,0.0,0.0,0.03,0.0,0.0
58,0.009849714092456052,0.01,0.03,0.009846891948058845,0.009898543427540582
59,0.0196156086577729,0.02,0.03,0.01961746839141249,0.01981054815847801
60,0.029767186783021704,0.03,0.03,0.02976372129023608,0.030219222657620094
61,0.04067586561905401,0.04,0.03,0.04067306181675475,0.04152626914993664
62,0.050245864548383645,0.05,0.03,0.05023324249639292,0.05155213267106127
63,0.060685862292930604,0.06,0.03,0.06069286924433206,0.06260531077260219
64,0.07056665838125731,0.07,0.03,0.07055659889114067,0.07318018862703857
65,0.07997315508674574,0.08,0.03,0.07994465529017881,0.08335243011121994
66,0.09030888030592521,0.09,0.03,0.09033230344214048,0.09465016599788187
67,0.1015973564975945,0.1,0.03,0.10159205770903255,0.10713693310630486
68,0.20036078321024753,0.2,0.03,0.2002691080140622,0.22359463204863816
69,0.29785727147404484,0.30000000000000004,0.03,0.29783473010004863,0.35361857863388363
70,0.40060148450251865,0.4,0.03,0.4003741196114317,0.511828600750153
71,0.49903985210069246,0.5,0.03,0.4986568963827226,0.691228726172315
72,0.6012536315190202,0.6000000000000001,0.03,0.6002174337523982,0.919429732182285
73,0.7006151865933599,0.7000000000000001,0.03,0.7001621326118123,1.2060255317078012
74,0.7989078368275969,0.8,0.03,0.7982305119648958,1.6039919527669353
75,0.9001121393286338,0.9,0.03,0.8980160059923762,2.30370711551229
76,0.0,0.0,0.04,0.0,0.0
77,0.009969001969499125,0.01,0.04,0.009968414402539838,0.010019025201764899
78,0.01994324150279969,0.02,0.04,0.01994026699500831,0.020144792160756615
79,0.03033612031133892,0.03,0.04,0.030329909585909177,0.030805783320061352
80,0.03977041544004922,0.04,0.04,0.03977467803862837,0.04058287252891543
81,0.05102178419641923,0.05,0.04,0.0510195204708201,0.05236943553179822
82,0.06089184543389481,0.06,0.04,0.060883908467063326,0.06282462582506634
83,0.06886007617931045,0.07,0.04,0.06885769287224965,0.07134571888350218
84,0.07921771622117046,0.08,0.04,0.07923270515720479,0.08253166179123547
85,0.08853109529601055,0.09,0.04,0.08850241461635017,0.09269779986772171
86,0.100080363392957,0.1,0.04,0.10001836921609229,0.10544981230349426
87,0.19850107436619358,0.2,0.04,0.19848553833040597,0.2212716473778365
88,0.29990656567615426,0.30000000000000004,0.04,0.2993453673668941,0.3565414752405814
89,0.3979916316035701,0.4,0.04,0.3977360008039906,0.5074839327791865
90,0.4985701321438638,0.5,0.04,0.49769049841006313,0.6902915261128032
91,0.6013121285714653,0.6000000000000001,0.04,0.6002671864748064,0.9195764453521551
92,0.6997743020815768,0.7000000000000001,0.04,0.6981729545739367,1.2032207607868364
93,0.801693035622616,0.8,0.04,0.7981684724625754,1.617939123662685
94,0.8998497495063709,0.9,0.04,0.8978945215680648,2.3010837156889226
95,0.0,0.0,0.05,0.0,0.0
96,0.010343319406455498,0.01,0.05,0.010343226143655798,0.010397183277363282
97,0.02042118348760036,0.02,0.05,0.020417716413763793,0.020632578767993497
98,0.03049948644575151,0.03,0.05,0.030499964051543836,0.03097427458915472
99,0.040059076120188886,0.04,0.05,0.04005772116074594,0.04088353403896923
100,0.051015553851660234,0.05,0.05,0.05099329876680314,0.05236287023429914
101,0.05997856438382976,0.06,0.05,0.059969451160882856,0.06185260013110166
102,0.07069241039514107,0.07,0.05,0.07068667438860082,0.07331549743953977
103,0.07984410679272913,0.08,0.05,0.07982267025154267,0.08321217415559681
104,0.08900369481434489,0.09,0.05,0.0889633707144903,0.09321643750904764
105,0.09964715016162762,0.1,0.05,0.09963212591366673,0.10496853711548451
106,0.19822228766389338,0.2,0.05,0.19803265826305227,0.22092387619660978
107,0.29913895123758016,0.30000000000000004,0.05,0.29881954804222355,0.355445630193995
108,0.3991629741312194,0.4,0.05,0.39842074141244854,0.5094315528199624
109,0.49760950140118243,0.5,0.05,0.4966996742014934,0.6883775760316292
110,0.5995043379031448,0.6000000000000001,0.05,0.5975569317458354,0.9150523437512199
111,0.6990336474717289,0.7000000000000001,0.05,0.6967790316435153,1.2007568061021014
112,0.8005694416341307,0.8,0.05,0.7976720674271146,1.6122891816121243
113,0.8997702139811703,0.9,0.05,0.897335967005329,2.3002898688490703
114,0.0,0.0,0.06,0.0,0.0
